tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
MF16-15	MF16	118.2					  143.4	    0.0	   67.0	  391.0	  -50.0	This study	SO-CMD-NORTH
MF16-16	MF16	129.5					   94.7	    0.0	   67.0	  391.0	  -28.0	This study	SO-CMD-NORTH
MF16-17	MF16	145.2					   96.3	    0.0	   67.0	  391.0	  -62.0	This study	SO-CMD-NORTH
MF16-18	MF16	152.9					   79.8	    0.0	   67.0	  391.0	  -51.0	This study	SO-CMD-NORTH
MF16-19	MF16	162					   39.1	    0.0	   67.0	  391.0	  -33.0	This study	SO-CMD-NORTH
MF16-20	MF16	174.2					  121.7	    0.0	   67.0	  391.0	  -24.0	This study	SO-CMD-NORTH
MF16-21	MF16	0					   86.9	    0.0	   67.0	  391.0	  -40.0	This study	SO-CMD-NORTH
MF16-22	MF16	0					   90.8	    0.0	   67.0	  391.0	  -38.0	This study	SO-CMD-NORTH
MF16-23	MF16	0					   54.7	    0.0	   67.0	  391.0	  -48.0	This study	SO-CMD-NORTH
MF16-24	MF16	0					   61.4	    0.0	   67.0	  391.0	  -54.0	This study	SO-CMD-NORTH
MF16-25	MF16	0					   82.3	    0.0	   67.0	  391.0	  -37.0	This study	SO-CMD-NORTH
MF16-26	MF16	0					   77.9	    0.0	   67.0	  391.0	  -37.0	This study	SO-CMD-NORTH
MF16-28	MF16	0					   80.3	    0.0	   67.0	  391.0	  -36.0	This study	SO-CMD-NORTH
MF16-29	MF16	0					  115.1	    0.0	   67.0	  391.0	  -56.0	This study	SO-CMD-NORTH
MF16-30	MF16	0					  122.9	    0.0	   67.0	  391.0	  -50.0	This study	SO-CMD-NORTH
MF16-31	MF16	0					  131.7	    0.0	   67.0	  391.0	  -42.0	This study	SO-CMD-NORTH
MF16-32	MF16	0					   87.8	    0.0	   67.0	  391.0	  -53.0	This study	SO-CMD-NORTH
MF16-33	MF16	0					   98.3	    0.0	   67.0	  391.0	  -52.0	This study	SO-CMD-NORTH
MF16-34	MF16	0					   98.9	    0.0	   67.0	  391.0	  -55.0	This study	SO-CMD-NORTH
MF16-35	MF16	0					  106.6	    0.0	   67.0	  391.0	  -52.0	This study	SO-CMD-NORTH
MF16-36	MF16	0					   96.4	    0.0	   67.0	  391.0	  -60.0	This study	SO-CMD-NORTH
MF16-37	MF16	0					   77.5	    0.0	   67.0	  391.0	  -46.0	This study	SO-CMD-NORTH
MF16-38	MF16	0					   76.6	    0.0	   67.0	  391.0	  -54.0	This study	SO-CMD-NORTH
MF16-39	MF16	0					   75.5	    0.0	   67.0	  391.0	  -51.0	This study	SO-CMD-NORTH
MF16-40	MF16	0					   73.4	    0.0	   67.0	  391.0	  -45.0	This study	SO-CMD-NORTH
MF16-41	MF16	0					   86.3	    0.0	   67.0	  391.0	  -60.0	This study	SO-CMD-NORTH
MF16-42	MF16	0					   79.1	    0.0	   67.0	  391.0	  -31.0	This study	SO-CMD-NORTH
MF16-43	MF16	0					   46.8	    0.0	   67.0	  391.0	  -25.0	This study	SO-CMD-NORTH
MF16-44	MF16	0					   56.4	    0.0	   67.0	  391.0	  -23.0	This study	SO-CMD-NORTH
MF16-45	MF16	0					  139.9	    0.0	   67.0	  391.0	  -35.0	This study	SO-CMD-NORTH
MF16-46	MF16	0					   98.4	    0.0	   67.0	  391.0	  -37.0	This study	SO-CMD-NORTH
MF16-47	MF16	0					  107.0	    0.0	   67.0	  391.0	  -24.0	This study	SO-CMD-NORTH
MF16-48	MF16	0					   48.4	    0.0	   67.0	  391.0	  -33.0	This study	SO-CMD-NORTH
MF16-49	MF16	0					   69.2	    0.0	   67.0	  391.0	  -23.0	This study	SO-CMD-NORTH
MF16-50	MF16	0					   77.8	    0.0	   67.0	  391.0	  -24.0	This study	SO-CMD-NORTH
MF16-51	MF16	0					   48.1	    0.0	   67.0	  391.0	  -23.0	This study	SO-CMD-NORTH
MF16-52	MF16	0					   82.9	    0.0	   67.0	  391.0	  -32.0	This study	SO-CMD-NORTH
MF16-53	MF16	0					   86.6	    0.0	   67.0	  391.0	  -35.0	This study	SO-CMD-NORTH
MF16-54	MF16	0					   81.2	    0.0	   67.0	  391.0	  -36.0	This study	SO-CMD-NORTH
MF16-55	MF16	0					   48.9	    0.0	   67.0	  391.0	  -28.0	This study	SO-CMD-NORTH
MF16-56	MF16	0					   55.4	    0.0	   67.0	  391.0	  -34.0	This study	SO-CMD-NORTH
MF16-57	MF16	0					   60.1	    0.0	   67.0	  391.0	  -45.0	This study	SO-CMD-NORTH
MF16-58	MF16	0					   54.6	    0.0	   67.0	  391.0	  -22.0	This study	SO-CMD-NORTH
MF16-59	MF16	0					   64.1	    0.0	   67.0	  391.0	  -33.0	This study	SO-CMD-NORTH
MF16-60	MF16	0					   66.6	    0.0	   67.0	  391.0	  -34.0	This study	SO-CMD-NORTH
MF16-61	MF16	0					   77.9	    0.0	   67.0	  391.0	  -24.0	This study	SO-CMD-NORTH
MF16-62	MF16	0					   74.4	    0.0	   67.0	  391.0	  -30.0	This study	SO-CMD-NORTH
MF16-63	MF16	0					   66.1	    0.0	   67.0	  391.0	  -34.0	This study	SO-CMD-NORTH
MF16-64	MF16	0					   71.7	    0.0	   67.0	  391.0	  -33.0	This study	SO-CMD-NORTH
MF16-65	MF16	0					   71.2	    0.0	   67.0	  391.0	  -34.0	This study	SO-CMD-NORTH
MF16-66	MF16	0					   76.5	    0.0	   67.0	  391.0	  -33.0	This study	SO-CMD-NORTH
MF16-67	MF16	0					   76.1	    0.0	   67.0	  391.0	  -22.0	This study	SO-CMD-NORTH
MF16-68	MF16	0					   63.1	    0.0	   67.0	  391.0	  -21.0	This study	SO-CMD-NORTH
MF16-69	MF16	0					   41.1	    0.0	   67.0	  391.0	  -25.0	This study	SO-CMD-NORTH
MF16-70	MF16	0					   75.1	    0.0	   67.0	  391.0	  -32.0	This study	SO-CMD-NORTH
MF16-71	MF16	0					   47.1	    0.0	   67.0	  391.0	  -33.0	This study	SO-CMD-NORTH
MF16-72	MF16	0					   64.1	    0.0	   67.0	  391.0	  -25.0	This study	SO-CMD-NORTH
MF16-73	MF16	0					   54.1	    0.0	   67.0	  391.0	  -28.0	This study	SO-CMD-NORTH
MF8-74	MF8	19.91					    2.1	    0.0	   60.0	  394.0	  -52.0	This study	SO-CMD-NORTH
